      -1819      -1619	! 0         
      -3000      -2800	! 1         
      -3000      -2800	! 2         
      -3000      -2800	! 3         
      -3000      -2800	! 4         
      -1865      -1665	! 5         
      -1888      -1688	! 6         
      -1840      -1640	! 7         
      -1812      -1612	! 8         
      -3000      -2800	! 9         
      -1866      -1666	! 10        
      -1850      -1650	! 11        
      -1890      -1690	! 12        
      -1860      -1660	! 13        
      -1814      -1614	! 14        
      -1794      -1594	! 15        
      -1854      -1654	! 16        
      -1864      -1664	! 17        
      -1882      -1682	! 18        
      -1982      -1782	! 19        
      -2030      -1830	! 20        
      -2014      -1814	! 21        
      -3000      -2800	! 22        
      -1872      -1672	! 23        
      -2156      -1956	! 24        
      -1932      -1732	! 25        
      -1840      -1640	! 26        
      -1918      -1718	! 27        
      -1862      -1662	! 28        
      -1946      -1746	! 29        
      -2148      -1948	! 30        
      -3000      -2800	! 31        
      -2114      -1914	! 32        
      -2330      -2130	! 33        
      -3000      -2800	! 34        
      -2502      -2302	! 35        
      -2169      -1969	! 36        
      -2546      -2346	! 37        
      -2307      -2107	! 38        
      -2698      -2498	! 39        
      -1225      -1025	! 40        
      -4096      -3896	! 41        
      -4096      -3896	! 42        
      -4096      -3896	! 43        
      -4096      -3896	! 44        
      -4096      -3896	! 45        
      -4096      -3896	! 46        
      -4096      -3896	! 47        
      -4096      -3896	! 48        
      -4096      -3896	! 49        
      -4096      -3896	! 50        
      -4096      -3896	! 51        
      -4096      -3896	! 52        
      -4096      -3896	! 53        
      -4096      -3896	! 54        
      -1144       -944	! 55        
      -4096      -3896	! 56        
      -4096      -3896	! 57        
      -4096      -3896	! 58        
      -4096      -3896	! 59        
      -4096      -3896	! 60        
      -4096      -3896	! 61        
      -4096      -3896	! 62        
      -4096      -3896	! 63        
      -4096      -3896	! 64        
      -4096      -3896	! 65        
      -4096      -3896	! 66        
      -4096      -3896	! 67        
      -4096      -3896	! 68        
      -4096      -3896	! 69        
      -4096      -3896	! 70        
      -4096      -3896	! 71        
      -4096      -3896	! 72        
      -4096      -3896	! 73        
      -4096      -3896	! 74        
      -4096      -3896	! 75        
      -4096      -3896	! 76        
      -4096      -3896	! 77        
      -4096      -3896	! 78        
      -4096      -3896	! 79        
      -4096      -3896	! 80        
      -4096      -3896	! 81        
      -4096      -3896	! 82        
      -4096      -3896	! 83        
      -4096      -3896	! 84        
      -4096      -3896	! 85        
      -4096      -3896	! 86        
      -4096      -3896	! 87        
      -4096      -3896	! 88        
      -4096      -3896	! 89        
      -4096      -3896	! 90
      -4096 	 -3896	! 91        
      -4096      -3896	! 92        
      -4096      -3896	! 93        
      -4096      -3896	! 94        
      -4096      -3896	! 95        
